sku_id,location_id,location_type,units_on_hand,days_on_hand,stockout_prob,reorder_point,safety_stock
SKU-0008,DC-001,DC,49,488.62,0.0,20,10
SKU-0008,DC-002,DC,540,419.65,0.0,180,90
SKU-0008,DC-003,DC,678,336.33,0.0,282,141
SKU-0008,DC-004,DC,38,376.46,0.0,20,10
SKU-0008,DC-005,DC,55,545.44,0.0,20,10
SKU-0008,DC-006,DC,41,406.37,0.0,20,10
SKU-0008,DC-007,DC,430,334.73,0.0,180,90
SKU-0008,DC-008,DC,610,302.46,0.0,282,141
SKU-0008,DC-009,DC,45,453.3,0.0,20,10
SKU-0008,DC-010,DC,33,331.68,0.0,20,10
SKU-0008,ST-001,store,17,171.62,0.0,11,6
SKU-0008,ST-002,store,27,21.02,0.0,14,7
SKU-0008,ST-003,store,21,10.63,0.241,21,11
SKU-0008,ST-004,store,16,162.65,0.0,7,4
SKU-0008,ST-005,store,13,130.3,0.0,9,4
SKU-0008,ST-006,store,21,205.96,0.0,9,4
SKU-0008,ST-007,store,17,13.27,0.052,14,7
SKU-0008,ST-008,store,23,11.65,0.168,21,11
SKU-0008,ST-009,store,12,123.71,0.0,7,4
SKU-0008,ST-010,store,7,72.97,0.0,3,2
SKU-0008,ST-011,store,13,125.24,0.0,8,4
SKU-0008,ST-012,store,20,15.35,0.0,14,7
SKU-0008,ST-013,store,31,15.55,0.0,21,11
SKU-0008,ST-014,store,10,102.45,0.0,4,2
SKU-0008,ST-015,store,4,37.97,0.0,4,2
SKU-0008,ST-016,store,18,177.3,0.0,10,5
SKU-0008,ST-017,store,32,24.7,0.0,14,7
SKU-0008,ST-018,store,39,19.42,0.0,21,11
SKU-0008,ST-019,store,18,175.4,0.0,11,6
SKU-0008,ST-020,store,11,113.0,0.0,8,4
SKU-0008,ST-021,store,9,85.92,0.0,7,4
SKU-0008,ST-022,store,25,19.22,0.0,14,7
SKU-0008,ST-023,store,37,18.55,0.0,21,11
SKU-0008,ST-024,store,4,37.27,0.0,3,2
SKU-0008,ST-025,store,18,177.11,0.0,8,4
SKU-0008,ST-026,store,20,196.99,0.0,9,4
SKU-0008,ST-027,store,24,18.87,0.0,14,7
SKU-0008,ST-028,store,33,16.46,0.0,21,11
SKU-0008,ST-029,store,13,133.27,0.0,9,5
SKU-0008,ST-030,store,10,99.79,0.0,9,4
SKU-0008,ST-031,store,17,172.35,0.0,8,4
SKU-0008,ST-032,store,21,16.04,0.0,14,7
SKU-0008,ST-033,store,54,26.57,0.0,21,11
SKU-0008,ST-034,store,5,52.75,0.0,4,2
SKU-0008,ST-035,store,22,215.98,0.0,9,5
SKU-0008,ST-036,store,5,46.84,0.0,4,2
SKU-0008,ST-037,store,24,18.64,0.0,14,7
SKU-0008,ST-038,store,33,16.54,0.0,21,11
SKU-0008,ST-039,store,19,191.11,0.0,8,4
SKU-0008,ST-040,store,6,56.94,0.0,6,3
SKU-0008,ST-041,store,18,175.14,0.0,9,5
SKU-0008,ST-042,store,25,19.52,0.0,14,7
SKU-0008,ST-043,store,49,24.22,0.0,21,11
SKU-0008,ST-044,store,13,132.13,0.0,11,5
SKU-0008,ST-045,store,20,199.44,0.0,10,5
SKU-0008,ST-046,store,21,210.96,0.0,11,5
SKU-0008,ST-047,store,34,26.15,0.0,14,7
SKU-0008,ST-048,store,51,25.07,0.0,21,11
SKU-0008,ST-049,store,12,122.93,0.0,6,3
SKU-0008,ST-050,store,15,153.47,0.0,8,4
SKU-0025,DC-001,DC,33,332.94,0.0,20,10
SKU-0025,DC-002,DC,993,214.97,0.0,647,323
SKU-0025,DC-003,DC,40,402.73,0.0,20,10
SKU-0025,DC-004,DC,45,449.35,0.0,20,10
SKU-0025,DC-005,DC,47,465.75,0.0,20,10
SKU-0025,DC-006,DC,46,455.36,0.0,20,10
SKU-0025,DC-007,DC,1111,240.6,0.0,647,323
SKU-0025,DC-008,DC,55,545.22,0.0,20,10
SKU-0025,DC-009,DC,52,515.99,0.0,20,10
SKU-0025,DC-010,DC,56,559.01,0.0,20,10
SKU-0025,ST-001,store,26,261.36,0.0,11,5
SKU-0025,ST-002,store,102,22.12,0.0,48,24
SKU-0025,ST-003,store,14,143.29,0.0,7,3
SKU-0025,ST-004,store,13,132.62,0.0,5,3
SKU-0025,ST-005,store,17,173.7,0.0,9,4
SKU-0025,ST-006,store,18,175.95,0.0,8,4
SKU-0025,ST-007,store,104,22.5,0.0,48,24
SKU-0025,ST-008,store,6,58.02,0.0,3,2
SKU-0025,ST-009,store,27,266.65,0.0,12,6
SKU-0025,ST-010,store,8,80.91,0.0,5,2
SKU-0025,ST-011,store,19,188.24,0.0,7,4
SKU-0025,ST-012,store,125,27.16,0.0,48,24
SKU-0025,ST-013,store,5,53.26,0.0,4,2
SKU-0025,ST-014,store,5,48.42,0.0,4,2
SKU-0025,ST-015,store,14,140.91,0.0,7,4
SKU-0025,ST-016,store,12,118.04,0.0,10,5
