shipment_id,week,sku_id,destination_region,planned_arrival_date,actual_arrival_date,delay_days,units_shipped,shipment_status,carrier,shipment_cost_inr,anomaly_flag
SHP00001,2025-W02,SKU-001,North,2025-01-10,2025-01-10,0,1427,LATE_MINOR,Ecom Express,2766.0,False
SHP00002,2025-W02,SKU-001,North,2025-01-08,2025-01-07,0,714,ON_TIME,XpressBees,4810.0,False
SHP00003,2025-W02,SKU-001,South,2025-01-11,2025-01-10,0,1477,ON_TIME,XpressBees,2556.0,False
SHP00004,2025-W02,SKU-001,South,2025-01-11,2025-01-11,0,965,LATE_MINOR,XpressBees,7058.0,False
SHP00005,2025-W02,SKU-001,South,2025-01-08,2025-01-08,0,1145,LATE_MINOR,Ecom Express,6980.0,False
SHP00006,2025-W02,SKU-001,East,2025-01-07,2025-01-06,0,1160,ON_TIME,BlueDart,3938.0,False
SHP00007,2025-W02,SKU-001,East,2025-01-09,2025-01-08,0,1070,ON_TIME,Ecom Express,3665.0,False
SHP00008,2025-W02,SKU-001,West,2025-01-07,2025-01-09,2,1262,LATE_MINOR,Ecom Express,5317.0,False
SHP00009,2025-W02,SKU-001,West,2025-01-07,2025-01-08,1,464,LATE_MINOR,Ecom Express,7676.0,False
SHP00010,2025-W02,SKU-001,West,2025-01-08,2025-01-10,2,1419,LATE_MINOR,Ecom Express,7619.0,False
SHP00011,2025-W02,SKU-001,Central,2025-01-08,2025-01-07,0,424,ON_TIME,Delhivery,2364.0,False
SHP00012,2025-W02,SKU-001,Central,2025-01-10,2025-01-09,0,1071,ON_TIME,Delhivery,2172.0,False
SHP00013,2025-W02,SKU-001,Central,2025-01-11,2025-01-10,0,980,ON_TIME,BlueDart,2124.0,False
SHP00014,2025-W02,SKU-002,North,2025-01-08,2025-01-07,0,633,ON_TIME,XpressBees,2952.0,False
SHP00015,2025-W02,SKU-002,North,2025-01-10,2025-01-10,0,924,LATE_MINOR,XpressBees,7471.0,False
SHP00016,2025-W02,SKU-002,South,2025-01-11,2025-01-11,0,1445,LATE_MINOR,XpressBees,2046.0,False
SHP00017,2025-W02,SKU-002,East,2025-01-08,2025-01-09,1,556,LATE_MINOR,Ecom Express,3987.0,False
SHP00018,2025-W02,SKU-002,West,2025-01-11,2025-01-12,1,1222,LATE_MINOR,Ecom Express,6954.0,False
SHP00019,2025-W02,SKU-002,Central,2025-01-09,2025-01-09,0,348,LATE_MINOR,BlueDart,1276.0,False
SHP00020,2025-W02,SKU-003,North,2025-01-09,2025-01-09,0,972,LATE_MINOR,XpressBees,3490.0,False
SHP00021,2025-W02,SKU-003,South,2025-01-10,2025-01-12,2,959,LATE_MINOR,Delhivery,2432.0,False
SHP00022,2025-W02,SKU-003,South,2025-01-07,2025-01-08,1,1016,LATE_MINOR,XpressBees,2765.0,False
SHP00023,2025-W02,SKU-003,East,2025-01-08,2025-01-09,1,416,LATE_MINOR,BlueDart,2687.0,False
SHP00024,2025-W02,SKU-003,East,2025-01-08,2025-01-10,2,806,LATE_MINOR,XpressBees,6310.0,False
SHP00025,2025-W02,SKU-003,East,2025-01-07,2025-01-09,2,1062,LATE_MINOR,BlueDart,1674.0,False
SHP00026,2025-W02,SKU-003,West,2025-01-09,2025-01-11,2,1292,LATE_MINOR,Ecom Express,7523.0,False
SHP00027,2025-W02,SKU-003,West,2025-01-09,2025-01-11,2,795,LATE_MINOR,XpressBees,7783.0,False
SHP00028,2025-W02,SKU-003,Central,2025-01-08,2025-01-09,1,976,LATE_MINOR,XpressBees,2522.0,False
SHP00029,2025-W02,SKU-003,Central,2025-01-09,2025-01-09,0,907,LATE_MINOR,Delhivery,5736.0,False
SHP00030,2025-W02,SKU-003,Central,2025-01-09,2025-01-09,0,551,LATE_MINOR,BlueDart,5669.0,False
SHP00031,2025-W02,SKU-004,North,2025-01-08,2025-01-10,2,907,LATE_MINOR,XpressBees,1225.0,False
SHP00032,2025-W02,SKU-004,North,2025-01-11,2025-01-11,0,202,LATE_MINOR,BlueDart,7659.0,False
SHP00033,2025-W02,SKU-004,North,2025-01-08,2025-01-10,2,620,LATE_MINOR,BlueDart,6290.0,False
SHP00034,2025-W02,SKU-004,South,2025-01-10,2025-01-12,2,1347,LATE_MINOR,BlueDart,2562.0,False
SHP00035,2025-W02,SKU-004,South,2025-01-07,2025-01-06,0,829,ON_TIME,Delhivery,5147.0,False
SHP00036,2025-W02,SKU-004,South,2025-01-07,2025-01-09,2,813,LATE_MINOR,BlueDart,7802.0,False
SHP00037,2025-W02,SKU-004,East,2025-01-11,2025-01-12,1,597,LATE_MINOR,Delhivery,7944.0,False
SHP00038,2025-W02,SKU-004,East,2025-01-10,2025-01-12,2,552,LATE_MINOR,BlueDart,4334.0,False
SHP00039,2025-W02,SKU-004,East,2025-01-08,2025-01-08,0,1114,LATE_MINOR,XpressBees,4044.0,False
SHP00040,2025-W02,SKU-004,West,2025-01-08,2025-01-09,1,712,LATE_MINOR,Ecom Express,3060.0,False
SHP00041,2025-W02,SKU-004,West,2025-01-11,2025-01-13,2,576,LATE_MINOR,XpressBees,5095.0,False
SHP00042,2025-W02,SKU-004,West,2025-01-10,2025-01-10,0,353,LATE_MINOR,Ecom Express,7981.0,False
SHP00043,2025-W02,SKU-004,Central,2025-01-07,2025-01-06,0,875,ON_TIME,XpressBees,1691.0,False
SHP00044,2025-W02,SKU-004,Central,2025-01-07,2025-01-08,1,1497,LATE_MINOR,Delhivery,5164.0,False
SHP00045,2025-W02,SKU-004,Central,2025-01-10,2025-01-11,1,539,LATE_MINOR,Ecom Express,5199.0,False
SHP00046,2025-W02,SKU-005,North,2025-01-10,2025-01-09,0,297,ON_TIME,BlueDart,4677.0,False
SHP00047,2025-W02,SKU-005,South,2025-01-09,2025-01-09,0,1099,LATE_MINOR,Delhivery,5930.0,False
SHP00048,2025-W02,SKU-005,South,2025-01-10,2025-01-10,0,586,LATE_MINOR,Delhivery,4496.0,False
SHP00049,2025-W02,SKU-005,South,2025-01-09,2025-01-10,1,947,LATE_MINOR,Delhivery,5006.0,False
SHP00050,2025-W02,SKU-005,East,2025-01-11,2025-01-11,0,924,LATE_MINOR,Delhivery,6255.0,False
SHP00051,2025-W02,SKU-005,West,2025-01-08,2025-01-08,0,507,LATE_MINOR,Delhivery,1425.0,False
SHP00052,2025-W02,SKU-005,Central,2025-01-10,2025-01-10,0,924,LATE_MINOR,Ecom Express,5382.0,False
SHP00053,2025-W02,SKU-005,Central,2025-01-11,2025-01-11,0,896,LATE_MINOR,Delhivery,7273.0,False
SHP00054,2025-W02,SKU-005,Central,2025-01-10,2025-01-10,0,829,LATE_MINOR,Ecom Express,6224.0,False
SHP00055,2025-W02,SKU-006,North,2025-01-10,2025-01-09,0,673,ON_TIME,XpressBees,7434.0,False
SHP00056,2025-W02,SKU-006,South,2025-01-08,2025-01-10,2,1433,LATE_MINOR,Delhivery,7160.0,False
SHP00057,2025-W02,SKU-006,East,2025-01-08,2025-01-10,2,964,LATE_MINOR,BlueDart,3331.0,False
SHP00058,2025-W02,SKU-006,West,2025-01-11,2025-01-13,2,241,LATE_MINOR,BlueDart,7650.0,False
SHP00059,2025-W02,SKU-006,Central,2025-01-07,2025-01-08,1,1338,LATE_MINOR,BlueDart,3173.0,False
SHP00060,2025-W02,SKU-007,North,2025-01-10,2025-01-09,0,282,ON_TIME,BlueDart,2315.0,False
SHP00061,2025-W02,SKU-007,North,2025-01-09,2025-01-10,1,869,LATE_MINOR,Delhivery,3761.0,False
SHP00062,2025-W02,SKU-007,South,2025-01-11,2025-01-11,0,1322,LATE_MINOR,Ecom Express,5917.0,False
SHP00063,2025-W02,SKU-007,South,2025-01-07,2025-01-08,1,1018,LATE_MINOR,XpressBees,4683.0,False
SHP00064,2025-W02,SKU-007,East,2025-01-08,2025-01-10,2,311,LATE_MINOR,Ecom Express,2844.0,False
SHP00065,2025-W02,SKU-007,West,2025-01-08,2025-01-07,0,1090,ON_TIME,Delhivery,5046.0,False
SHP00066,2025-W02,SKU-007,West,2025-01-07,2025-01-07,0,469,LATE_MINOR,Ecom Express,5479.0,False
SHP00067,2025-W02,SKU-007,Central,2025-01-09,2025-01-09,0,1387,LATE_MINOR,XpressBees,2212.0,False
SHP00068,2025-W02,SKU-008,North,2025-01-07,2025-01-09,2,1113,LATE_MINOR,Delhivery,2326.0,False
SHP00069,2025-W02,SKU-008,North,2025-01-08,2025-01-09,1,1090,LATE_MINOR,Ecom Express,4452.0,False
SHP00070,2025-W02,SKU-008,North,2025-01-11,2025-01-10,0,956,ON_TIME,Ecom Express,2782.0,False
SHP00071,2025-W02,SKU-008,South,2025-01-10,2025-01-10,0,405,LATE_MINOR,XpressBees,5357.0,False
SHP00072,2025-W02,SKU-008,South,2025-01-08,2025-01-08,0,1173,LATE_MINOR,Ecom Express,2372.0,False
SHP00073,2025-W02,SKU-008,South,2025-01-09,2025-01-09,0,1256,LATE_MINOR,Delhivery,2796.0,False
